pid,utt,utt_type,utt_ind,needs_review
p407,"I'm inclined to play 2,3 or 3,3, what do you think?",Common Ground Question,2,False
p407,I'm not seeing any big yellow threats. Can you see any?,Think Aloud,3,False
p407,I'm not seeing any big yellow threats. Can you see any?,Knowledge Deficit Question,3,False
p407,I only have one move left and don't see anything obvious.,Think Aloud,4,False
p407,I only have one move left and don't see anything obvious.,Metacomment,4,False
p407,"Nope, 5, 3 is filled by yellow.",Think Aloud,5,False
p407,"Nope, 5, 3 is filled by yellow.",Conversational Acknowledgment,5,False
p407,Not that I can see.,Metacomment,6,False
p306,"im thinking of adding red on the 3rd column to set up the diagonal four. This feels like a pretty obvious tactic, but i dont see a better one. Is my idea fine or do you have a better suggestion?",Think Aloud,0,False
p306,"im thinking of adding red on the 3rd column to set up the diagonal four. This feels like a pretty obvious tactic, but i dont see a better one. Is my idea fine or do you have a better suggestion?",Common Ground Question,0,False
p306,"well, now i either lose, or it's a draw. I have to drop one on the 4th column, but doing that leaves me with one move left, so unless yellow inexplicably drops a token on the 3rd colum, nobody can win.",Think Aloud,1,False
