pid,utt_ind,text,acts,n_acts,mean_conf,needs_review,outcome,SolReq,CommonGrd,KnowDef,ThinkAloud,Ack,Meta,ProvideInfo
p52,1,Are there any alternatives that I should consider?,SolReq,1,1.0,False,won,1,0,0,0,0,0,0
p52,2,What should I do now?,SolReq,1,1.0,False,won,1,0,0,0,0,0,0
p52,3,What about 2 or 3 to try and build up my 4?,CommonGrd|Meta,2,0.83,False,won,0,1,0,0,0,1,0
p620,0,"thinking about putting a red on row 2, column 3, is that a good move?",CommonGrd|ThinkAloud,2,0.83,False,won,0,1,0,1,0,0,0
p620,1,"i think i meant column 2, row 3",ThinkAloud,1,1.0,False,won,0,0,0,1,0,0,0
p407,0,"I can see a threat at 4,4, so am planning to fill that.",ThinkAloud,1,1.0,False,won,0,0,0,1,0,0,0
p407,1,"The diagonal starting at 7,1",ThinkAloud,1,1.0,False,won,0,0,0,1,0,0,0
p407,2,"I'm inclined to play 2,3 or 3,3, what do you think?",CommonGrd|ThinkAloud,2,0.83,False,won,0,1,0,1,0,0,0
p407,3,I'm not seeing any big yellow threats. Can you see any?,KnowDef|ThinkAloud,2,1.0,False,won,0,0,1,1,0,0,0
p407,4,I only have one move left and don't see anything obvious.,ThinkAloud|Meta,2,0.83,False,won,0,0,0,1,0,1,0
p407,5,"Nope, 5, 3 is filled by yellow.",ThinkAloud|Ack,2,0.67,False,won,0,0,0,1,1,0,0
p407,6,Not that I can see.,Meta,1,0.67,False,won,0,0,0,0,0,1,0
p306,0,"im thinking of adding red on the 3rd column to set up the diagonal four. This feels like a pretty obvious tactic, but i dont see a better one. Is my idea fine or do you have a better suggestion?",CommonGrd|ThinkAloud,2,1.0,False,won,0,1,0,1,0,0,0
p306,1,"well, now i either lose, or it's a draw. I have to drop one on the 4th column, but doing that leaves me with one move left, so unless yellow inexplicably drops a token on the 3rd colum, nobody can win.",ThinkAloud,1,1.0,False,won,0,0,0,1,0,0,0
